nama_twitter,tanggal_tweet,isi_tweet,label
mcreativepky,"10/10/2021, 12:07:47",RT @JudiMargan2: @AaBay81 @iyuk1975 @na_dirs Otak bebal mana mungkin bisa ngasih saran... maksudmu saran dari Kadrun otak sungsang ... mere…,pos
Bayu56602050,"10/10/2021, 12:07:43","RT @Uki23: Kalo Covid gak terkendali ya salah Jokowi. Kalo terkendali ya jasanya @LaporCovid. Gitu lho.

Indonesia Urutan Teratas Se-Asia T…",neg
jengkyyyy,"10/10/2021, 12:07:37",RT @pijarpsikologi: Pandemi Covid-19 telah memberikan dampak yang cukup besar pada kesehatan mental masyarakat. Kesehatan mental adalah hak…,neutral
SovianCalm,"10/10/2021, 12:07:35",Diabetes Jadi Penyerta Kematian Covid-19 Tertinggi di Batam https://t.co/IKw7OeglrK,neg
RizalFathin2,"10/10/2021, 12:07:34","RT @rahahahafiz: Harga balik kampung Saliva Covid-19 Test kit RM15 sekotak!

Whatsapp: https://t.co/QPEVh1wOkj lepas tu cakap nak balik kam…",neg
_atikahsham,"10/10/2021, 12:07:34","Udah 3 bulan pasca covid tapi kapan yaa brain fog ini hilang.
Buat aku yang tiap hari kerjaan berhubungan sama hitu… https://t.co/lRT0X6iccv",neg
eedaz_prada,"10/10/2021, 12:07:30","RT @miund: Wah, ternyata Indonesia masuk ranking nomer sekian ya dalam penanganan Covid. Semoga terus membaik ke depannya. 

That should’ve…",neg
gokepricom,"10/10/2021, 12:07:29",Data Kasus Positif dan Kematian Covid-19  sampai 10 Oktober 2021 https://t.co/Ws1Nj7aftW https://t.co/fjWbBCLik1,neutral
fiqkgetah,"10/10/2021, 12:07:29","RT @edjunaidi: Again, guys. Dr Siti Mariah. India sendiri pun dah stop Ivermectin dari list of Covid-19 treatment. 🤷‍♂️",neutral
diyanxyz_,"10/10/2021, 12:07:24","RT @AfiqMahadhir: 6. MAURITANIA
- Negative Covid Test
- Kuarantin 10 hari
- Lain2 info tidak lengkap https://t.co/P7FZB0qrUr",neg
kmlzzt,"10/10/2021, 12:07:23","Polisi Italia menangkap 12 orang, termasuk pejabat tinggi partai sayap kanan ekstrem Forza Nuova, menyusul bentroka… https://t.co/htFkFBbMkJ",neutral
anisanaf,"10/10/2021, 12:07:23",@Yahoo_ID Kasian Covid-19 jadi tumbal terus.. dipojokan dan disalahkan,neg
heartsxflowers_,"10/10/2021, 12:07:22",@prilsssssss Makanya kita udah pernah ngobrol sih andai Papi kena covid gimana. JH diangkut buat karantina di rumah… https://t.co/EgQcTWvQqt,pos
Beritasatu,"10/10/2021, 12:07:18","RT @BuletinTV3: COVID-19 | 7,373 kes harian baharu dilaporkan. https://t.co/KZsnBiLz20",neutral
heeeeeeyyaaa,"10/10/2021, 12:07:11",Sedangkan kasus kematian bertambah 52 kematian hari ini menjadi total kematian akibat Covid-19 sebanyak 142.612 ora… https://t.co/zxjf35qUbG,pos
pichajahiroh,"10/10/2021, 12:07:09","RT @hazman92_: Siapa yang ambil Sinovac, masih dikategorikan sebagai unvaccinated daripada government UK yaa. Still kena kuarantin 10 days…",neutral
traceroute_life,"10/10/2021, 12:07:06","RT @Jhonkosmik: Mall dan bioskop di buka, PON serta pilkada digelar.
Sementara hari libur Maulid diundur dengan alasan Covid.

Republik Wak…",neg
