,isi_tweet,label,case_folding,remove_user,cleansing,tokenizing,normalization,remove_stop_word,stemming
10,"https://t.co/nk3g9NTdey - Pemulihan ekonomi masyarakat menjadi salah satu prioritas utama Wali Kota Surabaya, Eri C… https://t.co/zUIyh6zB1L",pos,"https://t.co/nk3g9ntdey - pemulihan ekonomi masyarakat menjadi salah satu prioritas utama wali kota surabaya, eri c… https://t.co/zuiyh6zb1l","https://t.co/nk3g9ntdey - pemulihan ekonomi masyarakat menjadi salah satu prioritas utama wali kota surabaya, eri c… https://t.co/zuiyh6zb1l",pemulihan ekonomi masyarakat menjadi salah satu prioritas utama wali kota surabaya eri ,"['pemulihan', 'ekonomi', 'masyarakat', 'menjadi', 'salah', 'satu', 'prioritas', 'utama', 'wali', 'kota', 'surabaya', 'eri']","['pemulihan', 'ekonomi', 'masyarakat', 'menjadi', 'salah', 'satu', 'prioritas', 'utama', 'wali', 'kota', 'surabaya', 'eri']","['pemulihan', 'ekonomi', 'masyarakat', 'salah', 'prioritas', 'utama', 'wali', 'kota', 'surabaya', 'eri']","['pulih', 'ekonomi', 'masyarakat', 'salah', 'prioritas', 'utama', 'wali', 'kota', 'surabaya', 'eri']"
11,"RT @Pencerah__: I. Budiman Sudjatmiko menyampaikan bahwa, pandemi Covid-19 memaksa manusia untuk berpikir ilmiah serta harus berdasarkan da…",neutral,"rt @pencerah__: i. budiman sudjatmiko menyampaikan bahwa, pandemi covid-19 memaksa manusia untuk berpikir ilmiah serta harus berdasarkan da…","rt : i. budiman sudjatmiko menyampaikan bahwa, pandemi covid-19 memaksa manusia untuk berpikir ilmiah serta harus berdasarkan da…",   budiman sudjatmiko menyampaikan bahwa pandemi covid memaksa manusia untuk berpikir ilmiah sea harus berdasarkan da,"['budiman', 'sudjatmiko', 'menyampaikan', 'bahwa', 'pandemi', 'covid', 'memaksa', 'manusia', 'untuk', 'berpikir', 'ilmiah', 'sea', 'harus', 'berdasarkan', 'da']","['budiman', 'sudjatmiko', 'menyampaikan', 'bahwa', 'pandemi', 'covid', 'memaksa', 'manusia', 'untuk', 'berpikir', 'ilmiah', 'sea', 'harus', 'berdasarkan', 'dan']","['budiman', 'sudjatmiko', 'pandemi', 'covid', 'memaksa', 'manusia', 'berpikir', 'ilmiah', 'sea', 'berdasarkan']","['budiman', 'sudjatmiko', 'pandemi', 'covid', 'paksa', 'manusia', 'pikir', 'ilmiah', 'sea', 'dasar']"
12,"RT @reezal_merican: Setelah lebih setahun kita bergelut dlm pandemik COVID-19, #HSN2021 membawa simbol besar kali ini iaitu kejayaan Malays…",pos,"rt @reezal_merican: setelah lebih setahun kita bergelut dlm pandemik covid-19, #hsn2021 membawa simbol besar kali ini iaitu kejayaan malays…","rt : setelah lebih setahun kita bergelut dlm pandemik covid-19, #hsn2021 membawa simbol besar kali ini iaitu kejayaan malays…",  setelah lebih setahun kita bergelut dlm pandemik covid membawa simbol besar kali ini iaitu kejayaan malays,"['setelah', 'lebih', 'setahun', 'kita', 'bergelut', 'dlm', 'pandemik', 'covid', 'membawa', 'simbol', 'besar', 'kali', 'ini', 'iaitu', 'kejayaan', 'malays']","['setelah', 'lebih', 'setahun', 'kita', 'bergelut', 'dalam', 'pandemik', 'covid', 'membawa', 'simbol', 'besar', 'kali', 'ini', 'iaitu', 'kejayaan', 'malays']","['setahun', 'bergelut', 'pandemik', 'covid', 'membawa', 'simbol', 'kali', 'iaitu', 'kejayaan', 'malays']","['tahun', 'gelut', 'pandemik', 'covid', 'bawa', 'simbol', 'kali', 'iaitu', 'jaya', 'malays']"
13,"RT @FarisNazrin18: 2 tahun lalu sebelum COVID-19 melanda, aku pernah termenung lama di atas jambatan ini waktu lunch break. Jauh aku terfik…",neg,"rt @farisnazrin18: 2 tahun lalu sebelum covid-19 melanda, aku pernah termenung lama di atas jambatan ini waktu lunch break. jauh aku terfik…","rt : 2 tahun lalu sebelum covid-19 melanda, aku pernah termenung lama di atas jambatan ini waktu lunch break. jauh aku terfik…",   tahun lalu sebelum covid melanda aku pernah termenung lama di atas jambatan ini waktu lunch break jauh aku terfik,"['tahun', 'lalu', 'sebelum', 'covid', 'melanda', 'aku', 'pernah', 'termenung', 'lama', 'di', 'atas', 'jambatan', 'ini', 'waktu', 'lunch', 'break', 'jauh', 'aku', 'terfik']","['tahun', 'lalu', 'sebelum', 'covid', 'melanda', 'aku', 'pernah', 'termenung', 'lama', 'di', 'atas', 'jambatan', 'ini', 'waktu', 'lunch', 'break', 'jauh', 'aku', 'terfik']","['covid', 'melanda', 'termenung', 'jambatan', 'lunch', 'break', 'terfik']","['covid', 'landa', 'menung', 'jambat', 'lunch', 'break', 'terfik']"
14,"RT @taerajin_: menurut pemberitauan dri temn ku, di USA kondisi covid udh ga begitu buruk lgi dri seblmnya, tapi mereka msh mengikuti proto…",neutral,"rt @taerajin_: menurut pemberitauan dri temn ku, di usa kondisi covid udh ga begitu buruk lgi dri seblmnya, tapi mereka msh mengikuti proto…","rt : menurut pemberitauan dri temn ku, di usa kondisi covid udh ga begitu buruk lgi dri seblmnya, tapi mereka msh mengikuti proto…",  menurut pemberitauan dri temn ku di usa kondisi covid udh ga begitu buruk lgi dri seblmnya tapi mereka msh mengikuti proto,"['menurut', 'pemberitauan', 'dri', 'temn', 'ku', 'di', 'usa', 'kondisi', 'covid', 'udh', 'ga', 'begitu', 'buruk', 'lgi', 'dri', 'seblmnya', 'tapi', 'mereka', 'msh', 'mengikuti', 'proto']","['menurut', 'pemberitauan', 'dari', 'temn', 'ku', 'di', 'united state of america', 'kondisi', 'covid', 'sudah', 'tidak', 'begitu', 'buruk', 'lagi', 'dari', 'seblmnya', 'tapi', 'mereka', 'masih', 'mengikuti', 'proto']","['pemberitauan', 'temn', 'ku', 'united state of america', 'kondisi', 'covid', 'buruk', 'seblmnya', 'mengikuti', 'proto']","['pemberitauan', 'temn', 'ku', 'united state of america', 'kondisi', 'covid', 'buruk', 'seblmnya', 'ikut', 'proto']"
15,24 hari kes pulih melebihi jangkitan baharu Covid-19 https://t.co/oKOzOCdZOU,neutral,24 hari kes pulih melebihi jangkitan baharu covid-19 https://t.co/okozocdzou,24 hari kes pulih melebihi jangkitan baharu covid-19 https://t.co/okozocdzou, hari kes pulih melebihi jangkitan baharu covid,"['hari', 'kes', 'pulih', 'melebihi', 'jangkitan', 'baharu', 'covid']","['hari', 'kes', 'pulih', 'melebihi', 'jangkitan', 'baharu', 'covid']","['kes', 'pulih', 'melebihi', 'jangkitan', 'baharu', 'covid']","['kes', 'pulih', 'lebih', 'jangkit', 'baharu', 'covid']"
16,"Kasus Covid-19 Hari Ini, DKI Jakarta Terbanyak  https://t.co/3c7S70YcDs",neg,"kasus covid-19 hari ini, dki jakarta terbanyak  https://t.co/3c7s70ycds","kasus covid-19 hari ini, dki jakarta terbanyak  https://t.co/3c7s70ycds",kasus covid hari ini dki jakaa terbanyak,"['kasus', 'covid', 'hari', 'ini', 'dki', 'jakaa', 'terbanyak']","['kasus', 'covid', 'hari', 'ini', 'daerah khusus ibukota', 'jakaa', 'terbanyak']","['covid', 'daerah khusus ibukota', 'jakaa']","['covid', 'daerah khusus ibukota', 'jakaa']"
17,"Molnupiravir Jadi Obat Covid-19, Kemenkes: Masih Tunggu Uji Klinis BPOM
Selengkapnya: 👇 #ObatCovid19
https://t.co/GoQVjPN1I7",neg,"molnupiravir jadi obat covid-19, kemenkes: masih tunggu uji klinis bpom
selengkapnya: 👇 #obatcovid19
https://t.co/goqvjpn1i7","molnupiravir jadi obat covid-19, kemenkes: masih tunggu uji klinis bpom
selengkapnya: 👇 #obatcovid19
https://t.co/goqvjpn1i7",molnupiravir jadi obat covid kemenkes masih tunggu uji klinis bpom selengkapnya ,"['molnupiravir', 'jadi', 'obat', 'covid', 'kemenkes', 'masih', 'tunggu', 'uji', 'klinis', 'bpom', 'selengkapnya']","['molnupiravir', 'jadi', 'obat', 'covid', 'kemenkes', 'masih', 'tunggu', 'uji', 'klinis', 'badan pengawas obat dan makanan', 'selengkapnya']","['molnupiravir', 'obat', 'covid', 'kemenkes', 'tunggu', 'uji', 'klinis', 'badan pengawas obat dan makanan', 'selengkapnya']","['molnupiravir', 'obat', 'covid', 'kemenkes', 'tunggu', 'uji', 'klinis', 'badan awas obat dan makan', 'lengkap']"
18,Indonesia Resmi Keluar dari Daftar Zona Merah Covid-19 Versi Inggris #ZonaHijauCovid https://t.co/M0D7W00SCl,pos,indonesia resmi keluar dari daftar zona merah covid-19 versi inggris #zonahijaucovid https://t.co/m0d7w00scl,indonesia resmi keluar dari daftar zona merah covid-19 versi inggris #zonahijaucovid https://t.co/m0d7w00scl,indonesia resmi keluar dari daftar zona merah covid versi inggris,"['indonesia', 'resmi', 'keluar', 'dari', 'daftar', 'zona', 'merah', 'covid', 'versi', 'inggris']","['indonesia', 'resmi', 'keluar', 'dari', 'daftar', 'zona', 'merah', 'covid', 'versi', 'inggris']","['indonesia', 'resmi', 'daftar', 'zona', 'merah', 'covid', 'versi', 'inggris']","['indonesia', 'resmi', 'daftar', 'zona', 'merah', 'covid', 'versi', 'inggris']"
19,gue kira positif covid awalnya🙃 https://t.co/dc23y6EHXE,neg,gue kira positif covid awalnya🙃 https://t.co/dc23y6ehxe,gue kira positif covid awalnya🙃 https://t.co/dc23y6ehxe,gue kira positif covid awalnya,"['gue', 'kira', 'positif', 'covid', 'awalnya']","['gue', 'kira', 'positif', 'covid', 'awalnya']","['positif', 'covid']","['positif', 'covid']"
20,"Cegah Covid-19, Polsek Basarang Patroli Dialogis Ajak Warga Bersama Patuhi Protokol Kesehatan https://t.co/ZTDZwyswTy",neg,"cegah covid-19, polsek basarang patroli dialogis ajak warga bersama patuhi protokol kesehatan https://t.co/ztdzwyswty","cegah covid-19, polsek basarang patroli dialogis ajak warga bersama patuhi protokol kesehatan https://t.co/ztdzwyswty",cegah covid polsek basarang patroli dialogis ajak warga bersama patuhi protokolkesehatan,"['cegah', 'covid', 'polsek', 'basarang', 'patroli', 'dialogis', 'ajak', 'warga', 'bersama', 'patuhi', 'protokolkesehatan']","['cegah', 'covid', 'kepolisian sektor', 'basarang', 'patroli', 'dialogis', 'ajak', 'warga', 'bersama', 'patuhi', 'protokolkesehatan']","['cegah', 'covid', 'kepolisian sektor', 'basarang', 'patroli', 'dialogis', 'ajak', 'warga', 'patuhi', 'protokolkesehatan']","['cegah', 'covid', 'polisi sektor', 'basarang', 'patroli', 'dialogis', 'ajak', 'warga', 'patuh', 'protokolkesehatan']"
21,RT @JudiMargan2: @AaBay81 @iyuk1975 @na_dirs Otak bebal mana mungkin bisa ngasih saran... maksudmu saran dari Kadrun otak sungsang ... mere…,pos,rt @judimargan2: @aabay81 @iyuk1975 @na_dirs otak bebal mana mungkin bisa ngasih saran... maksudmu saran dari kadrun otak sungsang ... mere…,rt :    otak bebal mana mungkin bisa ngasih saran... maksudmu saran dari kadrun otak sungsang ... mere…,  otak bebal mana mungkin bisa ngasih saran maksudmu saran dari kadrun otak sungsang  mere,"['otak', 'bebal', 'mana', 'mungkin', 'bisa', 'ngasih', 'saran', 'maksudmu', 'saran', 'dari', 'kadrun', 'otak', 'sungsang', 'mere']","['otak', 'bebal', 'mana', 'mungkin', 'bisa', 'memberi', 'saran', 'maksudmu', 'saran', 'dari', 'kadrun', 'otak', 'sungsang', 'mere']","['otak', 'bebal', 'saran', 'maksudmu', 'saran', 'kadrun', 'otak', 'sungsang', 'mere']","['otak', 'bebal', 'saran', 'maksud', 'saran', 'kadrun', 'otak', 'sungsang', 'mere']"
22,"RT @Uki23: Kalo Covid gak terkendali ya salah Jokowi. Kalo terkendali ya jasanya @LaporCovid. Gitu lho.

Indonesia Urutan Teratas Se-Asia T…",neg,"rt @uki23: kalo covid gak terkendali ya salah jokowi. kalo terkendali ya jasanya @laporcovid. gitu lho.

indonesia urutan teratas se-asia t…","rt : kalo covid gak terkendali ya salah jokowi. kalo terkendali ya jasanya . gitu lho.

indonesia urutan teratas se-asia t…",  kalo covid gak terkendali ya salah jokowi kalo terkendali ya jasanya  gitu lho indonesia urutan teratas seasia ,"['kalo', 'covid', 'gak', 'terkendali', 'ya', 'salah', 'jokowi', 'kalo', 'terkendali', 'ya', 'jasanya', 'gitu', 'lho', 'indonesia', 'urutan', 'teratas', 'seasia']","['kalau', 'covid', 'tidak', 'terkendali', 'ya', 'salah', 'jokowi', 'kalau', 'terkendali', 'ya', 'jasanya', 'begitu', 'lo', 'indonesia', 'urutan', 'teratas', 'seasia']","['covid', 'terkendali', 'salah', 'jokowi', 'terkendali', 'jasanya', 'lo', 'indonesia', 'urutan', 'teratas', 'seasia']","['covid', 'kendali', 'salah', 'jokowi', 'kendali', 'jasa', 'lo', 'indonesia', 'urut', 'atas', 'seasia']"
23,RT @pijarpsikologi: Pandemi Covid-19 telah memberikan dampak yang cukup besar pada kesehatan mental masyarakat. Kesehatan mental adalah hak…,neutral,rt @pijarpsikologi: pandemi covid-19 telah memberikan dampak yang cukup besar pada kesehatan mental masyarakat. kesehatan mental adalah hak…,rt : pandemi covid-19 telah memberikan dampak yang cukup besar pada kesehatan mental masyarakat. kesehatan mental adalah hak…,  pandemi covid telah memberikan dampak yang cukup besar pada kesehatan mental masyarakat kesehatan mental adalah hak,"['pandemi', 'covid', 'telah', 'memberikan', 'dampak', 'yang', 'cukup', 'besar', 'pada', 'kesehatan', 'mental', 'masyarakat', 'kesehatan', 'mental', 'adalah', 'hak']","['pandemi', 'covid', 'telah', 'memberikan', 'dampak', 'yang', 'cukup', 'besar', 'pada', 'kesehatan', 'mental', 'masyarakat', 'kesehatan', 'mental', 'adalah', 'hak']","['pandemi', 'covid', 'dampak', 'kesehatan', 'mental', 'masyarakat', 'kesehatan', 'mental', 'hak']","['pandemi', 'covid', 'dampak', 'sehat', 'mental', 'masyarakat', 'sehat', 'mental', 'hak']"
24,Diabetes Jadi Penyerta Kematian Covid-19 Tertinggi di Batam https://t.co/IKw7OeglrK,neg,diabetes jadi penyerta kematian covid-19 tertinggi di batam https://t.co/ikw7oeglrk,diabetes jadi penyerta kematian covid-19 tertinggi di batam https://t.co/ikw7oeglrk,diabetes jadi penyea kematian covid teinggi di batam,"['diabetes', 'jadi', 'penyea', 'kematian', 'covid', 'teinggi', 'di', 'batam']","['diabetes', 'jadi', 'penyea', 'kematian', 'covid', 'teinggi', 'di', 'batam']","['diabetes', 'penyea', 'kematian', 'covid', 'teinggi', 'batam']","['diabetes', 'penyea', 'mati', 'covid', 'teinggi', 'batam']"
25,"RT @rahahahafiz: Harga balik kampung Saliva Covid-19 Test kit RM15 sekotak!

Whatsapp: https://t.co/QPEVh1wOkj lepas tu cakap nak balik kam…",neg,"rt @rahahahafiz: harga balik kampung saliva covid-19 test kit rm15 sekotak!

whatsapp: https://t.co/qpevh1wokj lepas tu cakap nak balik kam…","rt : harga balik kampung saliva covid-19 test kit rm15 sekotak!

whatsapp: https://t.co/qpevh1wokj lepas tu cakap nak balik kam…",  harga balik kampung saliva covid test kit rm sekotak whatsapp lepas tu cakap nak balik kam,"['harga', 'balik', 'kampung', 'saliva', 'covid', 'test', 'kit', 'rm', 'sekotak', 'whatsapp', 'lepas', 'tu', 'cakap', 'nak', 'balik', 'kam']","['harga', 'balik', 'kampung', 'saliva', 'covid', 'tes', 'kit', 'rm', 'sekotak', 'whatsapp', 'lepas', 'itu', 'cakap', 'nak', 'balik', 'kamu']","['harga', 'kampung', 'saliva', 'covid', 'tes', 'kit', 'rm', 'sekotak', 'whatsapp', 'lepas', 'cakap', 'nak']","['harga', 'kampung', 'saliva', 'covid', 'tes', 'kit', 'rm', 'kotak', 'whatsapp', 'lepas', 'cakap', 'nak']"
26,"Udah 3 bulan pasca covid tapi kapan yaa brain fog ini hilang.
Buat aku yang tiap hari kerjaan berhubungan sama hitu… https://t.co/lRT0X6iccv",neg,"udah 3 bulan pasca covid tapi kapan yaa brain fog ini hilang.
buat aku yang tiap hari kerjaan berhubungan sama hitu… https://t.co/lrt0x6iccv","udah 3 bulan pasca covid tapi kapan yaa brain fog ini hilang.
buat aku yang tiap hari kerjaan berhubungan sama hitu… https://t.co/lrt0x6iccv",udah  bulan pasca covid tapi kapan yaa brain fog ini hilang buat aku yang tiap hari kerjaan berhubungan sama hitu,"['udah', 'bulan', 'pasca', 'covid', 'tapi', 'kapan', 'yaa', 'brain', 'fog', 'ini', 'hilang', 'buat', 'aku', 'yang', 'tiap', 'hari', 'kerjaan', 'berhubungan', 'sama', 'hitu']","['sudah', 'bulan', 'pasca', 'covid', 'tapi', 'kapan', 'ya', 'brain', 'fog', 'ini', 'hilang', 'buat', 'aku', 'yang', 'tiap', 'hari', 'pekerjaan', 'berhubungan', 'sama', 'hitu']","['pasca', 'covid', 'brain', 'fog', 'hilang', 'pekerjaan', 'berhubungan', 'hitu']","['pasca', 'covid', 'brain', 'fog', 'hilang', 'kerja', 'hubung', 'hitu']"
